Date,Category,Payment Mode,Description,Amount Paid,Cashback,Month
2023-01-11,Transportation,CardTransaction,Monthly bus pass,411.18,20.56,January
2023-01-22,Food,Online,Grocery shopping at local market,329.25,32.93,January
2023-01-11,Transportation,CardTransaction,Ride-sharing service payment,285.54,14.28,January
2023-01-08,Entertainment,UPI,Amusement park entry fee,105.84,5.29,January
2023-01-22,Transportation,CardTransaction,Monthly bus pass,125.84,6.29,January
2023-01-23,Bills,Cash,Cable TV subscription,353.33,53.0,January
2023-01-28,Subscriptions,Cash,Amazon Prime Membership,418.21,62.73,January
2023-01-26,Subscriptions,Netbanking,Amazon Prime Membership,137.36,6.87,January
2023-01-13,Entertainment,Cash,Bookstore purchase,473.98,71.1,January
2023-01-15,Subscriptions,Netbanking,Spotify,298.5,14.93,January
2023-01-12,Food,CardTransaction,Grocery shopping at local market,326.71,16.34,January
2023-01-20,Healthcare,Netbanking,Doctor consultation fee,459.6,22.98,January
2023-01-31,Transportation,Netbanking,Gas station refill,125.78,6.29,January
2023-01-31,Subscriptions,CardTransaction,Amazon Prime Membership,422.6,21.13,January
2023-01-04,Bills,Online,Internet service provider charge,498.51,49.85,January
2023-01-05,Subscriptions,UPI,Spotify,452.29,22.61,January
2023-01-19,Food,Cash,Bakery purchase,387.19,58.08,January
2023-01-10,Food,CardTransaction,Coffee at cafe,394.21,19.71,January
2023-01-26,Bills,CardTransaction,Internet service provider charge,74.72,3.74,January
2023-01-03,Entertainment,Online,Concert ticket purchase,110.28,11.03,January
2023-01-08,Healthcare,CardTransaction,Dental clinic payment,43.21,2.16,January
2023-01-24,Food,CardTransaction,Coffee at cafe,162.46,8.12,January
2023-01-19,Food,Netbanking,Pizza order,127.33,6.37,January
2023-01-28,Transportation,CardTransaction,Ride-sharing service payment,253.1,12.66,January
2023-01-23,Food,CardTransaction,Dinner at Italian restaurant,16.94,0.85,January
2023-01-02,Entertainment,Online,Movie theater ticket,198.46,19.85,January
2023-01-28,Food,CardTransaction,Bakery purchase,380.4,19.02,January
2023-01-09,Subscriptions,Online,LinkedIn,176.58,17.66,January
2023-01-26,Transportation,UPI,Ride-sharing service payment,283.18,14.16,January
2023-01-06,Healthcare,Netbanking,Pharmacy medication purchase,210.01,10.5,January
2023-01-05,Subscriptions,Netbanking,LinkedIn,108.9,5.45,January
2023-01-19,Transportation,Netbanking,Monthly bus pass,289.34,14.47,January
2023-01-24,Healthcare,UPI,Optician eyewear purchase,292.55,14.63,January
2023-01-08,Bills,Online,Internet service provider charge,207.56,20.76,January
2023-01-04,Healthcare,Netbanking,Doctor consultation fee,356.91,17.85,January
2023-01-02,Transportation,Cash,Gas station refill,140.59,21.09,January
2023-01-09,Healthcare,Online,Dental clinic payment,142.56,14.26,January
2023-01-03,Food,UPI,Bakery purchase,74.32,3.72,January
2023-01-30,Healthcare,Netbanking,Optician eyewear purchase,179.64,8.98,January
2023-01-15,Food,UPI,Dinner at Italian restaurant,343.09,17.15,January
2023-01-29,Healthcare,UPI,Doctor consultation fee,455.74,22.79,January
2023-01-19,Subscriptions,UPI,Netflix,99.49,4.97,January
2023-01-11,Groceries,CardTransaction,Meat and fish,208.13,10.41,January
2023-01-04,Entertainment,Netbanking,Movie theater ticket,212.55,10.63,January
2023-01-27,Bills,Netbanking,Water utility bill,189.37,9.47,January
2023-01-27,Entertainment,UPI,Streaming service subscription,293.71,14.69,January
2023-01-01,Entertainment,UPI,Bookstore purchase,210.26,10.51,January
2023-01-10,Food,CardTransaction,Bakery purchase,247.5,12.38,January
2023-01-02,Entertainment,Online,Bookstore purchase,153.03,15.3,January
2023-01-15,Food,UPI,Bakery purchase,318.91,15.95,January
2023-01-24,Subscriptions,Cash,Disney Hotstar,454.32,68.15,January
2023-01-25,Groceries,Cash,Dairy products,51.74,7.76,January
2023-01-22,Groceries,Netbanking,Cooking Essentials,323.35,16.17,January
2023-01-28,Healthcare,Online,Dental clinic payment,255.03,25.5,January
2023-01-02,Entertainment,Online,Concert ticket purchase,425.93,42.59,January
2023-01-22,Bills,CardTransaction,Internet service provider charge,17.16,0.86,January
2023-01-29,Groceries,Cash,Meat and fish,356.4,53.46,January
2023-01-13,Food,CardTransaction,Coffee at cafe,97.36,4.87,January
2023-01-15,Entertainment,Netbanking,Bookstore purchase,109.9,5.5,January
2023-01-19,Groceries,Netbanking,Cooking Essentials,215.18,10.76,January
2023-01-17,Entertainment,Netbanking,Concert ticket purchase,10.8,0.54,January
2023-01-26,Entertainment,Cash,Movie theater ticket,365.48,54.82,January
2023-01-07,Entertainment,Cash,Movie theater ticket,310.86,46.63,January
2023-01-10,Healthcare,UPI,Dental clinic payment,13.84,0.69,January
2023-01-13,Healthcare,Netbanking,Optician eyewear purchase,402.6,20.13,January
2023-01-15,Groceries,Cash,Snacks and Drinks,364.78,54.72,January
2023-01-31,Groceries,Online,Kitchen items,356.07,35.61,January
2023-01-05,Food,CardTransaction,Coffee at cafe,79.26,3.96,January
2023-01-10,Transportation,CardTransaction,Monthly bus pass,433.61,21.68,January
2023-01-13,Food,Netbanking,Coffee at cafe,303.43,15.17,January
2023-01-01,Groceries,CardTransaction,Cooking Essentials,265.56,13.28,January
2023-01-22,Subscriptions,Netbanking,Spotify,282.43,14.12,January
2023-01-11,Entertainment,UPI,Concert ticket purchase,179.62,8.98,January
2023-01-25,Subscriptions,CardTransaction,Netflix,404.88,20.24,January
2023-01-26,Groceries,CardTransaction,Dairy products,326.76,16.34,January
2023-01-04,Food,Cash,Grocery shopping at local market,404.2,60.63,January
2023-01-21,Subscriptions,UPI,Netflix,229.0,11.45,January
2023-01-25,Entertainment,CardTransaction,Bookstore purchase,242.33,12.12,January
2023-01-04,Entertainment,UPI,Streaming service subscription,76.29,3.81,January
2023-01-25,Healthcare,Online,Pharmacy medication purchase,350.73,35.07,January
2023-01-01,Food,UPI,Dinner at Italian restaurant,149.53,7.48,January
2023-01-17,Bills,Netbanking,Electricity bill payment,220.53,11.03,January
2023-01-20,Bills,CardTransaction,Internet service provider charge,86.32,4.32,January
2023-01-23,Healthcare,Cash,Pharmacy medication purchase,424.21,63.63,January
2023-01-31,Transportation,Online,Gas station refill,463.01,46.3,January
2023-01-22,Bills,CardTransaction,Cable TV subscription,88.58,4.43,January
2023-01-28,Food,Cash,Pizza order,216.84,32.53,January
2023-01-31,Transportation,Online,Ride-sharing service payment,200.62,20.06,January
2023-01-31,Transportation,UPI,Gas station refill,392.3,19.62,January
2023-01-11,Healthcare,UPI,Health insurance premium,401.06,20.05,January
2023-01-30,Entertainment,Netbanking,Streaming service subscription,385.97,19.3,January
2023-01-06,Transportation,Cash,Taxi fare,140.9,21.14,January
2023-01-02,Groceries,Cash,Cooking Essentials,338.28,50.74,January
2023-01-04,Subscriptions,Netbanking,Spotify,201.78,10.09,January
2023-01-15,Bills,Cash,Mobile phone bill,163.33,24.5,January
2023-01-09,Food,CardTransaction,Pizza order,125.18,6.26,January
2023-01-05,Subscriptions,UPI,Netflix,233.03,11.65,January
2023-01-25,Bills,Netbanking,Cable TV subscription,336.54,16.83,January
2023-01-31,Entertainment,CardTransaction,Amusement park entry fee,310.36,15.52,January
2023-01-24,Food,CardTransaction,Dinner at Italian restaurant,365.33,18.27,January
2023-01-27,Food,CardTransaction,Coffee at cafe,56.09,2.8,January
2023-01-07,Food,UPI,Dinner at Italian restaurant,36.84,1.84,January
2023-01-15,Groceries,Online,Dairy products,226.16,22.62,January
2023-01-22,Subscriptions,Online,Disney Hotstar,280.5,28.05,January
2023-01-15,Transportation,Netbanking,Gas station refill,292.92,14.65,January
2023-01-19,Entertainment,CardTransaction,Streaming service subscription,159.87,7.99,January
2023-01-23,Healthcare,Netbanking,Health insurance premium,398.74,19.94,January
2023-01-29,Food,Cash,Grocery shopping at local market,420.83,63.12,January
2023-01-09,Bills,Cash,Electricity bill payment,233.19,34.98,January
2023-01-07,Healthcare,Online,Dental clinic payment,136.78,13.68,January
2023-01-13,Food,Cash,Bakery purchase,209.82,31.47,January
2023-01-11,Subscriptions,UPI,Netflix,97.18,4.86,January
2023-01-15,Subscriptions,Netbanking,Spotify,380.11,19.01,January
2023-01-15,Healthcare,Cash,Pharmacy medication purchase,315.75,47.36,January
2023-01-04,Subscriptions,CardTransaction,Disney Hotstar,127.82,6.39,January
2023-01-23,Subscriptions,UPI,Spotify,473.88,23.69,January
2023-01-23,Transportation,Online,Gas station refill,60.74,6.07,January
2023-01-26,Subscriptions,UPI,Spotify,203.22,10.16,January
2023-01-25,Groceries,Cash,Kitchen items,62.35,9.35,January
2023-01-26,Transportation,UPI,Monthly bus pass,326.04,16.3,January
2023-01-24,Food,Online,Dinner at Italian restaurant,122.58,12.26,January
2023-01-03,Entertainment,Netbanking,Movie theater ticket,481.83,24.09,January
2023-01-28,Entertainment,UPI,Amusement park entry fee,284.13,14.21,January
2023-01-01,Healthcare,CardTransaction,Doctor consultation fee,253.95,12.7,January
2023-01-19,Bills,Cash,Cable TV subscription,409.83,61.47,January
2023-01-03,Groceries,UPI,Kitchen items,461.76,23.09,January
2023-01-15,Bills,CardTransaction,Water utility bill,402.45,20.12,January
2023-01-04,Entertainment,CardTransaction,Concert ticket purchase,474.22,23.71,January
2023-01-30,Entertainment,Online,Bookstore purchase,277.38,27.74,January
2023-01-06,Bills,Online,Internet service provider charge,301.03,30.1,January
2023-01-24,Transportation,Online,Monthly bus pass,274.76,27.48,January
2023-01-09,Healthcare,Online,Doctor consultation fee,296.59,29.66,January
2023-01-06,Groceries,CardTransaction,Snacks and Drinks,13.62,0.68,January
2023-01-31,Entertainment,UPI,Streaming service subscription,307.48,15.37,January
2023-01-08,Food,Online,Grocery shopping at local market,123.38,12.34,January
2023-01-14,Entertainment,UPI,Concert ticket purchase,195.61,9.78,January
2023-01-31,Transportation,CardTransaction,Taxi fare,69.42,3.47,January
2023-01-26,Transportation,CardTransaction,Ride-sharing service payment,487.26,24.36,January
2023-02-25,Healthcare,UPI,Doctor consultation fee,261.09,13.05,February
2023-02-14,Groceries,Netbanking,Kitchen items,89.53,4.48,February
2023-02-07,Healthcare,Online,Optician eyewear purchase,145.11,14.51,February
2023-02-17,Bills,CardTransaction,Cable TV subscription,260.56,13.03,February
2023-02-26,Food,Online,Pizza order,34.38,3.44,February
2023-02-03,Groceries,Cash,Meat and fish,13.74,2.06,February
2023-02-21,Entertainment,Cash,Concert ticket purchase,37.53,5.63,February
2023-02-11,Food,UPI,Pizza order,244.67,12.23,February
2023-02-04,Food,CardTransaction,Bakery purchase,188.31,9.42,February
2023-02-08,Healthcare,Cash,Optician eyewear purchase,182.78,27.42,February
2023-02-27,Subscriptions,Netbanking,Amazon Prime Membership,470.65,23.53,February
2023-02-12,Subscriptions,Netbanking,Disney Hotstar,16.71,0.84,February
2023-02-05,Healthcare,UPI,Optician eyewear purchase,411.69,20.58,February
2023-02-25,Groceries,Cash,Dairy products,245.61,36.84,February
2023-02-19,Food,CardTransaction,Pizza order,241.61,12.08,February
2023-02-21,Entertainment,Cash,Amusement park entry fee,198.62,29.79,February
2023-02-16,Subscriptions,Cash,Amazon Prime Membership,47.64,7.15,February
2023-02-12,Healthcare,Netbanking,Health insurance premium,488.9,24.45,February
2023-02-10,Subscriptions,CardTransaction,Netflix,317.29,15.86,February
2023-02-19,Transportation,UPI,Monthly bus pass,399.25,19.96,February
2023-02-10,Transportation,Online,Train ticket to downtown,140.29,14.03,February
2023-02-14,Transportation,Netbanking,Ride-sharing service payment,465.73,23.29,February
2023-02-04,Healthcare,Netbanking,Doctor consultation fee,442.26,22.11,February
2023-02-25,Healthcare,Online,Doctor consultation fee,81.57,8.16,February
2023-02-09,Bills,Online,Mobile phone bill,396.48,39.65,February
2023-02-24,Food,Online,Pizza order,406.4,40.64,February
2023-02-13,Food,Cash,Grocery shopping at local market,107.01,16.05,February
2023-02-28,Entertainment,Cash,Amusement park entry fee,105.61,15.84,February
2023-02-21,Healthcare,CardTransaction,Optician eyewear purchase,10.36,0.52,February
2023-02-03,Groceries,Cash,Meat and fish,341.17,51.18,February
2023-02-03,Groceries,UPI,Dairy products,122.6,6.13,February
2023-02-21,Food,Online,Bakery purchase,252.95,25.3,February
2023-02-10,Groceries,CardTransaction,Cooking Essentials,358.6,17.93,February
2023-02-12,Food,Online,Coffee at cafe,99.92,9.99,February
2023-02-11,Groceries,Netbanking,Dairy products,334.03,16.7,February
2023-02-11,Subscriptions,Online,Netflix,302.44,30.24,February
2023-02-06,Healthcare,UPI,Pharmacy medication purchase,120.64,6.03,February
2023-02-23,Food,CardTransaction,Bakery purchase,105.8,5.29,February
2023-02-12,Groceries,UPI,Dairy products,415.59,20.78,February
2023-02-22,Groceries,Netbanking,Kitchen items,47.93,2.4,February
2023-02-20,Entertainment,UPI,Streaming service subscription,54.75,2.74,February
2023-02-16,Healthcare,Netbanking,Doctor consultation fee,179.49,8.97,February
2023-02-27,Bills,Online,Internet service provider charge,207.85,20.79,February
2023-02-01,Transportation,UPI,Monthly bus pass,273.58,13.68,February
2023-02-25,Groceries,Online,Kitchen items,241.04,24.1,February
2023-02-04,Entertainment,Online,Amusement park entry fee,123.47,12.35,February
2023-02-08,Groceries,Netbanking,Kitchen items,23.21,1.16,February
2023-02-23,Food,Cash,Pizza order,197.19,29.58,February
2023-02-27,Healthcare,Netbanking,Pharmacy medication purchase,467.09,23.35,February
2023-02-12,Healthcare,Netbanking,Dental clinic payment,172.4,8.62,February
2023-02-10,Subscriptions,CardTransaction,Disney Hotstar,225.07,11.25,February
2023-02-10,Entertainment,CardTransaction,Amusement park entry fee,223.05,11.15,February
2023-02-23,Healthcare,CardTransaction,Optician eyewear purchase,300.01,15.0,February
2023-02-10,Bills,Netbanking,Cable TV subscription,83.92,4.2,February
2023-02-26,Subscriptions,Online,Spotify,116.09,11.61,February
2023-02-06,Subscriptions,CardTransaction,Spotify,24.86,1.24,February
2023-02-20,Subscriptions,Netbanking,Netflix,386.46,19.32,February
2023-02-07,Bills,Netbanking,Water utility bill,103.35,5.17,February
2023-02-08,Transportation,CardTransaction,Gas station refill,481.58,24.08,February
2023-02-10,Subscriptions,Online,Netflix,219.19,21.92,February
2023-02-23,Healthcare,Cash,Dental clinic payment,238.09,35.71,February
2023-02-20,Healthcare,CardTransaction,Optician eyewear purchase,408.67,20.43,February
2023-02-17,Healthcare,UPI,Optician eyewear purchase,92.86,4.64,February
2023-02-10,Transportation,CardTransaction,Ride-sharing service payment,392.96,19.65,February
2023-02-03,Groceries,UPI,Snacks and Drinks,476.11,23.81,February
2023-02-05,Transportation,CardTransaction,Train ticket to downtown,262.45,13.12,February
2023-02-21,Groceries,Cash,Kitchen items,325.95,48.89,February
2023-02-24,Entertainment,CardTransaction,Streaming service subscription,474.31,23.72,February
2023-02-04,Entertainment,CardTransaction,Bookstore purchase,268.91,13.45,February
2023-02-24,Subscriptions,Online,Amazon Prime Membership,472.06,47.21,February
2023-02-17,Healthcare,UPI,Pharmacy medication purchase,423.2,21.16,February
2023-02-17,Food,Cash,Grocery shopping at local market,415.74,62.36,February
2023-02-11,Bills,Online,Water utility bill,361.82,36.18,February
2023-02-23,Food,CardTransaction,Dinner at Italian restaurant,288.54,14.43,February
2023-02-04,Entertainment,Netbanking,Streaming service subscription,362.33,18.12,February
2023-02-24,Subscriptions,CardTransaction,LinkedIn,419.57,20.98,February
2023-02-19,Healthcare,Online,Pharmacy medication purchase,446.22,44.62,February
2023-02-14,Subscriptions,Cash,Amazon Prime Membership,159.61,23.94,February
2023-02-24,Bills,Online,Electricity bill payment,218.12,21.81,February
2023-02-03,Entertainment,Netbanking,Movie theater ticket,193.72,9.69,February
2023-02-13,Food,Netbanking,Grocery shopping at local market,95.13,4.76,February
2023-02-10,Transportation,Netbanking,Monthly bus pass,192.15,9.61,February
2023-02-27,Subscriptions,CardTransaction,Disney Hotstar,421.34,21.07,February
2023-02-17,Entertainment,CardTransaction,Amusement park entry fee,425.53,21.28,February
2023-02-17,Groceries,UPI,Cooking Essentials,362.65,18.13,February
2023-02-09,Entertainment,Cash,Streaming service subscription,153.6,23.04,February
2023-02-09,Subscriptions,Cash,LinkedIn,183.0,27.45,February
2023-02-03,Healthcare,Online,Pharmacy medication purchase,182.96,18.3,February
2023-02-05,Entertainment,Online,Bookstore purchase,366.39,36.64,February
2023-02-01,Food,Online,Pizza order,339.87,33.99,February
2023-02-22,Food,UPI,Grocery shopping at local market,474.14,23.71,February
2023-02-23,Entertainment,CardTransaction,Amusement park entry fee,321.33,16.07,February
2023-02-21,Groceries,Cash,Cooking Essentials,203.61,30.54,February
2023-02-13,Bills,CardTransaction,Cable TV subscription,398.78,19.94,February
2023-02-04,Healthcare,Online,Dental clinic payment,66.38,6.64,February
2023-02-08,Bills,UPI,Mobile phone bill,222.07,11.1,February
2023-02-24,Bills,UPI,Internet service provider charge,375.43,18.77,February
2023-02-26,Transportation,Cash,Taxi fare,367.14,55.07,February
2023-02-12,Groceries,Netbanking,Cooking Essentials,244.48,12.22,February
2023-02-23,Bills,Cash,Internet service provider charge,472.08,70.81,February
2023-02-06,Food,CardTransaction,Bakery purchase,402.37,20.12,February
2023-02-04,Subscriptions,Cash,Spotify,280.4,42.06,February
2023-02-21,Food,UPI,Grocery shopping at local market,277.27,13.86,February
2023-02-12,Healthcare,CardTransaction,Optician eyewear purchase,279.73,13.99,February
2023-02-08,Bills,UPI,Electricity bill payment,334.21,16.71,February
2023-02-06,Healthcare,Netbanking,Optician eyewear purchase,426.83,21.34,February
2023-02-21,Healthcare,CardTransaction,Doctor consultation fee,274.63,13.73,February
2023-02-11,Transportation,Online,Monthly bus pass,246.31,24.63,February
2023-02-07,Healthcare,CardTransaction,Optician eyewear purchase,232.39,11.62,February
2023-02-04,Groceries,CardTransaction,Kitchen items,119.84,5.99,February
2023-02-21,Subscriptions,CardTransaction,Spotify,304.39,15.22,February
2023-02-23,Food,UPI,Grocery shopping at local market,201.91,10.1,February
2023-02-23,Subscriptions,CardTransaction,Netflix,308.2,15.41,February
2023-02-26,Transportation,Online,Taxi fare,355.9,35.59,February
2023-02-09,Bills,Netbanking,Mobile phone bill,227.31,11.37,February
2023-02-25,Entertainment,UPI,Concert ticket purchase,411.52,20.58,February
2023-02-17,Groceries,UPI,Kitchen items,297.25,14.86,February
2023-02-06,Bills,Netbanking,Water utility bill,43.28,2.16,February
2023-02-01,Subscriptions,UPI,Disney Hotstar,80.61,4.03,February
2023-02-13,Healthcare,Cash,Health insurance premium,376.35,56.45,February
2023-02-25,Entertainment,Cash,Streaming service subscription,209.59,31.44,February
2023-02-08,Bills,CardTransaction,Electricity bill payment,32.26,1.61,February
2023-02-27,Subscriptions,Netbanking,LinkedIn,318.29,15.91,February
2023-02-10,Bills,Cash,Internet service provider charge,374.32,56.15,February
2023-02-02,Entertainment,CardTransaction,Bookstore purchase,362.33,18.12,February
2023-02-17,Transportation,UPI,Gas station refill,73.51,3.68,February
2023-02-22,Groceries,CardTransaction,Kitchen items,110.28,5.51,February
2023-02-15,Food,Netbanking,Coffee at cafe,311.73,15.59,February
2023-02-14,Bills,Cash,Electricity bill payment,390.5,58.57,February
2023-02-18,Groceries,Online,Meat and fish,305.08,30.51,February
2023-02-24,Bills,UPI,Internet service provider charge,379.69,18.98,February
2023-02-18,Groceries,Cash,Cooking Essentials,14.11,2.12,February
2023-02-22,Healthcare,Online,Health insurance premium,189.58,18.96,February
2023-02-04,Subscriptions,CardTransaction,Spotify,434.17,21.71,February
2023-02-19,Transportation,Cash,Train ticket to downtown,212.05,31.81,February
2023-02-05,Groceries,CardTransaction,Cooking Essentials,326.24,16.31,February
2023-02-12,Food,Online,Bakery purchase,418.01,41.8,February
2023-02-20,Healthcare,Online,Optician eyewear purchase,334.72,33.47,February
2023-02-27,Food,UPI,Grocery shopping at local market,186.56,9.33,February
2023-02-14,Bills,UPI,Mobile phone bill,446.13,22.31,February
2023-02-04,Food,CardTransaction,Bakery purchase,182.66,9.13,February
2023-02-27,Entertainment,UPI,Movie theater ticket,302.23,15.11,February
2023-02-01,Transportation,Cash,Taxi fare,496.2,74.43,February
2023-02-24,Subscriptions,Cash,LinkedIn,364.17,54.63,February
2023-02-07,Subscriptions,CardTransaction,Spotify,457.39,22.87,February
2023-02-05,Subscriptions,CardTransaction,LinkedIn,15.17,0.76,February
2023-02-03,Food,CardTransaction,Dinner at Italian restaurant,317.26,15.86,February
2023-02-02,Transportation,Cash,Taxi fare,188.04,28.21,February
2023-02-07,Food,Cash,Grocery shopping at local market,433.61,65.04,February
2023-02-26,Transportation,UPI,Monthly bus pass,203.7,10.19,February
2023-02-01,Subscriptions,Netbanking,Amazon Prime Membership,281.11,14.06,February
2023-02-18,Entertainment,Online,Amusement park entry fee,414.37,41.44,February
2023-02-16,Food,CardTransaction,Grocery shopping at local market,300.92,15.05,February
2023-02-13,Subscriptions,Online,Spotify,137.33,13.73,February
2023-02-13,Subscriptions,Netbanking,Amazon Prime Membership,256.13,12.81,February
2023-02-13,Entertainment,Netbanking,Amusement park entry fee,204.59,10.23,February
2023-02-09,Bills,Cash,Electricity bill payment,400.07,60.01,February
2023-02-02,Food,UPI,Pizza order,112.68,5.63,February
2023-02-24,Food,Netbanking,Bakery purchase,15.29,0.76,February
2023-02-10,Entertainment,CardTransaction,Concert ticket purchase,10.45,0.52,February
2023-02-08,Food,CardTransaction,Bakery purchase,46.21,2.31,February
2023-02-10,Healthcare,Netbanking,Dental clinic payment,26.65,1.33,February
2023-02-18,Subscriptions,Online,Disney Hotstar,466.1,46.61,February
2023-02-05,Entertainment,Cash,Amusement park entry fee,185.05,27.76,February
2023-02-19,Entertainment,Cash,Bookstore purchase,220.99,33.15,February
2023-02-25,Bills,Cash,Water utility bill,227.83,34.17,February
2023-02-15,Bills,Online,Electricity bill payment,213.81,21.38,February
2023-02-07,Bills,Online,Water utility bill,374.35,37.44,February
2023-02-25,Food,Cash,Coffee at cafe,296.96,44.54,February
2023-02-04,Subscriptions,CardTransaction,Amazon Prime Membership,187.65,9.38,February
2023-02-22,Transportation,Online,Train ticket to downtown,164.11,16.41,February
2023-02-08,Transportation,Online,Taxi fare,396.89,39.69,February
2023-02-18,Bills,Cash,Electricity bill payment,136.91,20.54,February
2023-02-16,Subscriptions,Online,Netflix,286.5,28.65,February
2023-02-06,Transportation,UPI,Ride-sharing service payment,429.23,21.46,February
2023-02-11,Bills,UPI,Electricity bill payment,295.17,14.76,February
2023-02-11,Subscriptions,Cash,LinkedIn,123.99,18.6,February
2023-02-04,Entertainment,Cash,Concert ticket purchase,140.4,21.06,February
2023-02-09,Entertainment,Netbanking,Streaming service subscription,166.17,8.31,February
2023-02-19,Entertainment,Netbanking,Streaming service subscription,246.06,12.3,February
2023-03-04,Healthcare,Cash,Optician eyewear purchase,20.9,3.13,March
2023-03-02,Bills,UPI,Internet service provider charge,436.68,21.83,March
2023-03-10,Groceries,Online,Dairy products,71.22,7.12,March
2023-03-07,Food,UPI,Bakery purchase,413.09,20.65,March
2023-03-10,Subscriptions,Netbanking,LinkedIn,220.75,11.04,March
2023-03-23,Bills,UPI,Internet service provider charge,215.36,10.77,March
2023-03-31,Transportation,UPI,Monthly bus pass,454.75,22.74,March
2023-03-30,Bills,Online,Water utility bill,140.84,14.08,March
2023-03-28,Entertainment,CardTransaction,Streaming service subscription,332.63,16.63,March
2023-03-15,Groceries,Online,Dairy products,283.35,28.34,March
2023-03-31,Subscriptions,Cash,LinkedIn,72.35,10.85,March
2023-03-27,Healthcare,Cash,Health insurance premium,132.05,19.81,March
2023-03-10,Groceries,Cash,Kitchen items,106.15,15.92,March
2023-03-06,Food,Netbanking,Coffee at cafe,275.11,13.76,March
2023-03-10,Bills,CardTransaction,Internet service provider charge,101.55,5.08,March
2023-03-28,Entertainment,UPI,Streaming service subscription,440.93,22.05,March
2023-03-04,Subscriptions,CardTransaction,LinkedIn,35.7,1.79,March
2023-03-27,Food,Netbanking,Grocery shopping at local market,386.23,19.31,March
2023-03-26,Groceries,Cash,Dairy products,404.38,60.66,March
2023-03-06,Transportation,UPI,Gas station refill,386.9,19.34,March
2023-03-13,Groceries,Netbanking,Cooking Essentials,10.03,0.5,March
2023-03-16,Transportation,UPI,Taxi fare,493.23,24.66,March
2023-03-26,Entertainment,Cash,Streaming service subscription,249.31,37.4,March
2023-03-27,Bills,Netbanking,Cable TV subscription,275.69,13.78,March
2023-03-24,Transportation,Cash,Ride-sharing service payment,345.71,51.86,March
2023-03-21,Bills,CardTransaction,Water utility bill,261.24,13.06,March
2023-03-17,Bills,CardTransaction,Mobile phone bill,344.85,17.24,March
2023-03-26,Healthcare,Cash,Doctor consultation fee,172.1,25.81,March
2023-03-16,Bills,CardTransaction,Water utility bill,401.98,20.1,March
